 log2(N)   	,  Op1      	,  Op2      	,  onheap     	, onstack   	
         0	,          1	,         0	,        39	,       6.6	,
         1	,          2	,         1	,        13	,       3.3	,
         2	,          4	,         2	,         7	,       1.8	,
         3	,          8	,         4	,       3.9	,      0.91	,
         4	,         16	,         8	,       2.2	,      0.66	,
         5	,         32	,        16	,       1.8	,      0.49	,
         6	,         64	,        32	,       2.1	,      0.43	,
         7	,        128	,        64	,       4.8	,      0.41	,
         8	,        256	,       128	,       1.1	,      0.39	,
         9	,        512	,       256	,      0.56	,      0.39	,
        10	,       1024	,       512	,      0.53	,      0.42	,
        11	,       2048	,      1024	,      0.53	,      0.45	,
        12	,       4096	,      2048	,      0.56	,      0.44	,
        13	,       8192	,      4096	,      0.51	,      0.46	,
        14	,      16384	,      8192	,       0.6	,      0.48	,
        15	,      32768	,     16384	,      0.64	,      0.45	,
        16	,      65536	,     32768	,      0.58	,      0.45	,
        17	,     131072	,     65536	,      0.61	,      0.45	,
        18	,     262144	,    131072	,      0.62	,      0.45	,
        19	,     524288	,    262144	,      0.64	,      0.44	,
