 log2(N)   	,  Op1      	,  Op2      	,  onheap     	, onstack   	
         0	,          1	,         0	,        24	,       5.2	,
         1	,          2	,         1	,         8	,         2	,
         2	,          4	,         2	,         4	,       1.2	,
         3	,          8	,         4	,       2.2	,      0.68	,
         4	,         16	,         8	,       1.1	,      0.36	,
         5	,         32	,        16	,       1.1	,      0.22	,
         6	,         64	,        32	,       0.8	,      0.17	,
         7	,        128	,        64	,      0.45	,      0.13	,
         8	,        256	,       128	,      0.38	,      0.13	,
         9	,        512	,       256	,      0.18	,      0.13	,
        10	,       1024	,       512	,      0.16	,      0.16	,
        11	,       2048	,      1024	,      0.18	,      0.15	,
        12	,       4096	,      2048	,      0.17	,      0.16	,
        13	,       8192	,      4096	,      0.16	,      0.19	,
        14	,      16384	,      8192	,       0.2	,       0.2	,
        15	,      32768	,     16384	,      0.25	,      0.17	,
        16	,      65536	,     32768	,      0.21	,      0.18	,
        17	,     131072	,     65536	,      0.26	,      0.18	,
        18	,     262144	,    131072	,      0.25	,      0.15	,
        19	,     524288	,    262144	,      0.28	,      0.16	,
